a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
116,false,DivideError(),error,DivideError,10.0,116,true,116,valid,Int64,90
116,false,DivideError(),error,DivideError,10.0,116,true,116,valid,UInt8,66
115,false,DivideError(),error,DivideError,10.0,115,true,115,valid,UInt8,39
115,false,DivideError(),error,DivideError,10.0,115,true,115,valid,Int64,78
114,false,DivideError(),error,DivideError,10.0,114,true,114,valid,Int64,66
114,0,DivideError(),error,DivideError,10.0,114,1,114,valid,UInt8,69
113,false,DivideError(),error,DivideError,10.0,113,true,113,valid,UInt8,90
113,false,DivideError(),error,DivideError,10.0,113,true,113,valid,Int64,68
112,false,DivideError(),error,DivideError,10.0,112,true,112,valid,Int64,80
112,false,DivideError(),error,DivideError,10.0,112,true,112,valid,UInt8,79
111,false,DivideError(),error,DivideError,10.0,111,true,111,valid,Int64,64
111,false,DivideError(),error,DivideError,10.0,111,true,111,valid,UInt8,70
110,false,DivideError(),error,DivideError,10.0,110,true,110,valid,UInt8,80
